    0.283734835416125208E+00    0.156752792600075663E-08    0.683850476161366183E+00   -0.189274341825979242E+02    0.818137723647763160E+00    0.669109351709692768E+00    0.194673079775545226E+02   -0.225401100146426734E+04   -0.227347830944182169E+04
    0.288106790578856575E+00    0.868684941697806018E-09    0.856937766090909658E+00   -0.189361639748328372E+02    0.857551382970091702E+00    0.650995893910714996E+00    0.194673079775545226E+02   -0.225384916934710736E+04   -0.227331647732466172E+04
    0.321214304289853647E+00    0.171900528354638996E-08    0.614529036320883182E+00   -0.191714760757441596E+02    0.834791671845584227E+00    0.680106359425661444E+00    0.194673079775545226E+02   -0.225302269507854407E+04   -0.227249000305609843E+04
    0.308893233227291786E+00    0.212005369045791605E-08    0.570556973069807793E+00   -0.190913351166950775E+02    0.864268407555879636E+00    0.671050995602709421E+00    0.194673079775545226E+02   -0.225215435579576342E+04   -0.227162166377331778E+04
    0.321724515443211345E+00    0.901250193111493004E-09    0.770362273037320744E+00   -0.189766968792910795E+02    0.822104877173014947E+00    0.638984348447269812E+00    0.194673079775545226E+02   -0.225208856435757616E+04   -0.227155587233513052E+04
    0.319787086732145565E+00    0.193662249190318419E-08    0.582312033240393934E+00   -0.194934181581376471E+02    0.877128055158512665E+00    0.674926400460668208E+00    0.194673079775545226E+02   -0.225204037342198035E+04   -0.227150768139953470E+04
    0.304877136075837329E+00    0.160742552505615969E-08    0.640196007916011167E+00   -0.189994375095407584E+02    0.859361713719132836E+00    0.663452390273427728E+00    0.194673079775545226E+02   -0.225195842950306405E+04   -0.227142573748061841E+04
    0.289403127645561753E+00    0.146980282628203907E-08    0.692929072841892646E+00   -0.190174592940861658E+02    0.832449549074544271E+00    0.668242672964138751E+00    0.194673079775545226E+02   -0.225193794576011123E+04   -0.227140525373766559E+04
    0.292442804523308841E+00    0.120161687887212330E-08    0.781827204793203778E+00   -0.191478159002472630E+02    0.809955303337316579E+00    0.699164128176030242E+00    0.194673079775545226E+02   -0.225189735774867268E+04   -0.227136466572622703E+04
    0.278342997809349901E+00    0.146919363305401721E-08    0.759124211595961218E+00   -0.194656288393536876E+02    0.811734016926342505E+00    0.719580747883334482E+00    0.194673079775545226E+02   -0.225183365546768664E+04   -0.227130096344524100E+04
    0.317160806203737100E+00    0.165374181588213895E-08    0.628143301249326602E+00   -0.193401750413265958E+02    0.842472105379684089E+00    0.678055437493445656E+00    0.194673079775545226E+02   -0.225133206012496294E+04   -0.227079936810251729E+04
